sign	date	prediction
leo	2020-01-02	 Es un buen momento de plantearte proyectos o ideas renovadas de orden profesional de cara al año que comienza. Puedes retomar algún proyecto olvidado que tiene otra perspectiva y que en esta ocasión puede cuajar con bastante más facilidad.
virgo	2020-01-02	 Ten cuidado con alguien que te propone cierta inversión. Es preferible que tengas muchas precauciones con el engaño, o una oferta tentadora que te podría hacer perder lo que más valoras y que tanto te ha costado conseguir en muy poco tiempo.
libra	2020-01-02	 Encuentras a alguien con un diferencia de edad que sin embargo te puede atraer mucho más de lo que te gustaría reconocer. No descartes nada de antemano por prejuicios, sigue el impulso de tu corazón y esa será la mejor manera de descubrir algo importante.
escorpio	2020-01-02	 Mantente distante en un tema en el que ves que hay poca claridad o en el que muchas personas quieren opinar y tomar decisiones. Aún no es hora de que intervengas, debes ser paciente y observar los acontecimientos. Cuanta más información tengas, mejor.  
sagitario	2020-01-02	 Te pondrán a prueba en el trabajo, pero vas a salir de ella con mucha solvencia y con una gran fuerza renovada. Esto es algo que no esperabas, pero que te demuestra hasta donde puedes llegar. Creer en ti es lo mejor que te puede pasar.
capricornio	2020-01-02	 Lo que habías planteado a tu familia y que había supuesto una alteración emocional, ahora se calma. Por fin encontrarás respeto por las decisiones que has tomado, y eso te hace muy feliz. Dentro de poco verás que tu vida ha variado su rumbo para mejor.
acuario	2020-01-02	 Tendrás ganas de empezar cosas nuevas y empezarás a mirar una disciplina como el baile o un deporte que no has practicado nunca y a informarte sobre ello. Es algo que te va a sentar muy bien para renovarte. Las innovaciones de cualquier tipo resientan bien.
piscis	2020-01-02	 Hoy asumes algo muy importante en tu vida y eso te hace avanzar en tu evolución personal y espiritual. Has llegado a una conclusión que te permite quererte más y mejor y te encamina hacia la felicidad. No des ni un paso atrás en ese camino.
aries	2020-01-03	 Luna creciente en tu signo hoy lo que va a traerte un impulso especial para realizar una actividad que quizá otras veces te da un poco de pereza. Ahora no te pesará tanto tener esa responsabilidad e incluso te saldrá mejor que en otras ocasiones.  
tauro	2020-01-03	 Hay en ti un deseo de superación que hoy comienza a tomar forma ya que serás capaz, por fin, de decir “no” a alguien que siempre desea salirse con la suya. Esto te dará una visión distinta, más positiva, de ti mismo. Por la noche, no te apetecerá mucho salir.
geminis	2020-01-03	 Los momentos de fiesta no han terminado todavía y alguien te va a dar una excelente sorpresa con un regalo que no te esperas y que te hará muy feliz. Brillarás en una fiesta o en una reunión con tu inteligencia y tu simpatía; sale a relucir tu lado más social.
cancer	2020-01-03	 No asumas toda la responsabilidad en un tema familiar, probablemente con una persona de cierta edad, y si es posible compártela con el resto o el agotamiento físico y mental no tardará en llegar. Se firme en esto por el bien de todos, no sólo por el tuyo.
leo	2020-01-03	 Ultimas los detalles de una reunión o una cena en la que te apetece mucho ser el centro, aunque es cierto que has trabajado mucho para ello. Si hay niños cerca de ti, lo vas a pasar como si fueras uno de ellos y tendrás muchas satisfacciones emocionales.
virgo	2020-01-03	 Aparta de tu vida lo que te impide ser feliz, porque eso es lo que debes hacer. Si se trata de una situación de hace tiempo, comienza a dar los pasos para cambiarla. Por pequeños que sean, te van a sentar bien. No dejes que nadie te diga que no puedes hacerlo.
libra	2020-01-03	 No rechaces cualquier invitación que te hagan llegar hoy sea de lo que sea, porque es muy probable que conozcas a alguien que será importante en un futuro cercano. Ofrece tu mejor imagen, será la clave. A partir de ahí, pueden suceder cosas sorprendentes.
escorpio	2020-01-03	 Se potencian hoy mucho tus dotes de tipo intelectual o de desarrollo de ideas en cualquier sentido, porque también tendrán un lado práctico muy interesante. Alguien te felicita por ello y lo agradeces mucho porque ese espaldarazo significa mucho en tu carrera.
sagitario	2020-01-03	 No te impacientes hoy con nada ni con nadie, en especial si vas a sitios donde haya mucho barullo o mucha gente en la calle. Has de tener paciencia y procurar no sentirte agobiado, intenta disfrutar de lo que hay a tu alrededor, es la época del año idónea.
capricornio	2020-01-03	 No es un día especialmente bueno para que intentes vencer algún récord con el ejercicio físico. Si estos días has dejado de hacerlo por las vacaciones o las fiestas, retómalo poco a poco y no de golpe. Podrías perjudicarte en músculos o articulaciones.  
acuario	2020-01-03	 Antes de hacer ningún gasto extraordinario, échale un vistazo a tus cuentas porque quizá te lleves una sorpresa y tengas que frenar esos gastos. Te costará un poco cambiar de idea o renunciar a eso que te hace tanta ilusión, pero al final lo harás.
piscis	2020-01-03	 Estarás de buen humor para llevar a buen puerto todas las actividades de hoy, relacionadas con lo doméstico o con una fiesta cercana. Disfrutarás de conversaciones agradables y de ir de compras. Un amigo o una amiga lo compartirá contigo.
aries	2020-01-04	 Te propones desarrollar una mayor fortaleza emocional para que nadie pueda herirte y lo vas a conseguir si te propones no dejarte llevar por impulsos sin pensar en nada más. Por la noche, harás algo que te divertirá mucho relacionado con música o arte.
tauro	2020-01-04	 Hay mucha actividad a tu alrededor y sobre todo en tu núcleo familiar lo que podría agotarte física y emocionalmente, a pesar de que tienes ganas de colaborar con toda esa fiesta, pero llegará un momento en que te apetecerá parar y darte una vuelta en soledad. Hazlo.
geminis	2020-01-04	 Todo lo solidario te interesa ahora mucho porque te has dado cuenta de que es necesario colaborar en varias iniciativas que pueden hacer la vida de los demás un lugar mejor. Eso te hará sentir muy bien, contento contigo mismo y con una energía interior renovada.
cancer	2020-01-04	 Aprovecha la oportunidad que se puede presentar muy pronto de empezar de cero. Perdónate y comienza a hacer las cosas de manera diferente, porque si has cometido un error con alguien, no es irreparable. Hoy o mañana vas a tener la oportunidad.
leo	2020-01-04	 Sigue conservando esa amistad de hace mucho tiempo incluso si no estás de acuerdo en muchas cosas con esa persona no le des importancia porque lo que os une es mucho más importante y hermoso que lo que os separa; trabaja para ello y te sentirás muy bien.
virgo	2020-01-04	 Te conviene dedicar el día a la relación de pareja, sobre todo si quieres empezar una nueva etapa en la que las cosas vayan a por un escalón superior, hacia compromisos a largo plazo. Es un buen momento de planificar un enlace o una convivencia.
libra	2020-01-04	 Es cierto que lo tienes complicado si quieres actuar con todas las garantías siempre porque eso es imposible ya que las circunstancias cambian y el destino también puede mover sus hilos. Hoy te conviene ser prudente y no hacer ningún movimiento precipitado en nada.
escorpio	2020-01-04	 Es difícil estar entre dos aguas pero deberías de aprender a moverte sin tomar partido porque a veces te pones demasiado en evidencia y no sabes jugar tus cartas con inteligencia y más aún con astucia. Puede que lleves razón, pero debes demostrarla.
sagitario	2020-01-04	 Hoy puedes ser una persona clave para desencallar una negociación o mediar en un conflicto entre dos partes. Tus buenas palabras y tus buenas intenciones pueden calmar las aguas y te lo agradecerán mucho después. Hazlo con total libertad.
capricornio	2020-01-04	 Estarás muy casero, con ganas de pasar el mayor tiempo posible con la familia, en especial si tienes hijos, a los que vas a atender de manera especial. No te importará nada dejar cosas tuyas sin hacer porque ellos lo pasen bien. Buen momento emocional.
acuario	2020-01-04	 No merece nada la pena que pongas más energía en asuntos o personas que no están interesados en tu trabajo ni en tus proyectos, porque será un trabajo baldío que te puede traer mucha amargura innecesaria. Aprovecha el día para descansar y leer un buen libro.
piscis	2020-01-04	 Es muy importante que tengas claro cuál es tu presupuesto y no te pases de ahí, ya que vas a necesitar después tener la cuenta corriente saneada. Piensa en un gasto racional y no derroches porque lo que tu haces ahora afectará a todos después, es global.
aries	2020-01-05	 Disfrutarás de un evento con gente que te cae muy bien y con la que te llevas de maravilla. Contribuirás con algo que tu sabes hacer, relacionado con lo artístico para llevar alegría o felicidad a otras personas y eso será un momento muy especial y mágico.
tauro	2020-01-05	 Un libro o una música especial te revelará algo en lo que no habías pensado y que puede sacar lo mejor de ti. Sigue por ese camino para descubrir cosas muy importantes y especiales que te pueden llevar a otra manera de contemplarlo todo.  
geminis	2020-01-05	 Puedes aprovechar un momento relajado para atreverte a hacer o decir algo que hace tiempo te está apeteciendo o molestando y que hasta ahora te habías callado. Te escucharán atentamente, pero lo más importante es que lo hagas desde el amor y no desde la ira.
cancer	2020-01-05	 Estarás interesado en todo lo nuevo y la tecnología que te puede ayudar en tu vida profesional o personal. En ese sentido procura no gastar en cosas sólo para divertirte, que no es negativo, pero ahora te interesa más centrarte en algo más serio.
leo	2020-01-05	 Te apetecerá sumarte a esa invitación que te hacen para compartir una fiesta o un evento entrañable de las fiestas que ya acaban. Será un grupo muy animado con el que te lo puedes pasar muy bien. Alguien te sorprenderá muy agradablemente con su generosidad.
virgo	2020-01-05	 Tus propiedades, una casa o cualquier otro bien, te va a exigir atención y quizá tengas que improvisar soluciones para un problema que nadie más que tu puede solucionar de inmediato. Olvidarás pronto esos momentos de tensión si te lo tomas con humor.
libra	2020-01-05	 No descartes sentirte tentado por vivir una aventura apasionada con alguien muy distinto, que aún no conoces bien, pero que te atrae mucho. Haz la prueba, y no desaproveches esta oportunidad porque todo favorece bastante lo relacionado con la sensualidad.
escorpio	2020-01-05	 Vas a sentir una estela de positividad a través de una persona muy especial que te trae buenas influencias, tranquilidad y sonrisas. Ella contempla la vida con los ojos del que sana, del que da luz. Déjate llevar por ese sendero y te sentirás muy feliz.
sagitario	2020-01-05	 Vas a tomar hoy una decisión sin contar con la familia y les darás una sorpresa que en un primer momento les dejará boquiabiertos pero que luego les va a gustar mucho. De paso te enterarás de algo que no sabías y que será importante para el futuro.  
capricornio	2020-01-05	 Haz un esfuerzo para mantenerte en forma y no dejes que los asuntos familiares o las fiestas te lleven a dejar de hacer ese ejercicio que tanto bien te hace. Renovarse por dentro y por fuera es una de las metas que debes tener en este año que comienza.
acuario	2020-01-05	 Hoy es un día ideal para conseguir un mejor acercamiento y unión entre los miembros de la familia así que ponte a ello para ganar algún tiempo de calidad al estar con ellos. Tu creatividad te hará ser una buen anfitrión o anfitriona y te divertirás preparando una cena especial.
piscis	2020-01-05	 Algunos sueños comenzarán a tomar forma poco a poco ya que se pondrán en marcha algunos mecanismos internos tuyos que te harán renovarte, reinventarte de nuevo. Tu mundo espiritual te ayuda a llevar cabo algunos planes especiales para tu bienestar.
aries	2020-01-06	 Tu libertad es lo más importante para ti y así se lo vas a hacer saber a una persona que pretende llevarte por el camino que le apetece, con lo que no estás de acuerdo. Esa rebeldía es buena, porque te descubrirá quién eres en realidad.
tauro	2020-01-06	 Si contemplas una situación injusta que merece unas palabras de reproche o castigo, no te dejes llevar por el mal humor porque será fácil que digas lo que no deseas. Hazlo, pero con palabras tranquilas y con razones que no tenga posibilidad de réplica.
geminis	2020-01-06	 Nadie va a poder engañarte hoy y quizá veas que hay alguien que lo intenta, pero tu intuición te hará ver por dónde van los tiros y descubrirás la jugada. No hace falta que lo hagas de una manera evidente que pueda alterar un momento feliz o de risas.
cancer	2020-01-06	 Consigues hoy salirte con la tuya y que una persona que se hace la remolona, te visite en tu casa o vaya hacia donde tu quieras. Eso te hará pensar en que tu poder de convicción es mayor del que crees. Por la noche debes descansar algo más.
leo	2020-01-06	 Una casualidad te beneficiará hoy. Quizá te encuentres con una persona a la que hace tiempo no ves y que te puede ofrecer algo que necesitas, y si estás buscando trabajo o un cambio en el que tienes, también te puede beneficiar este encuentro en ese asunto.  
virgo	2020-01-06	 Ser perfeccionista es algo que a veces te perjudica, aunque realmente sea una de tus mejores virtudes, pero en ocasiones lo llevas al límite y eso no hace más que presionarte interiormente. Relájate un poco y si te equivocas en algo, no te castigues.
libra	2020-01-06	 Querrás aprovechar bien este último día de tus vacaciones y apurarás hasta el último momento para regresar a casa o al lugar donde ahora vives. Calcula bien tus tiempos si tienes que viajar, puede haber retrasos o inconvenientes de última hora.  
escorpio	2020-01-06	 Es muy posible que tengas que hacer algo que no te gusta o acudir a ver a alguien de una manera un tanto obligada. Pero si se trata de la familia política, no debes de poner mala cara porque se pueden enturbiar las relaciones con la pareja. Déjate llevar.
sagitario	2020-01-06	 Tomarás la iniciativa con un grupo de amigos que está algo cansado de muchas fiestas y no les apetece salir. Tu energía será hoy contagiosa y sabrás llevar a todo el mundo por donde te apetezca. No estires demasiado el reloj, que mañana te espera un día menos tranquilo.
capricornio	2020-01-06	 Buscas hoy hacer algo divertido que ayer no pudiste, por compromisos o porque tuviste trabajo. Hoy vas a encontrarte más a tus anchas y harás planes muy a tu aire incluso en soledad. Ojo con el consumismo, que te puede marcar la jornada.
acuario	2020-01-06	 No dejes que tus ideas impidan a alguien que quieres disfrutar de una celebración con la que no estás de acuerdo. Lo más importante es ver a esas personas felices y más si son niños. No impongas tu criterio y deja que todo fluya sin hacer una crisis de un capricho.
piscis	2020-01-06	 Un detalle generoso que has tenido con una persona a la que quieres mucho te va a traer muchas satisfacciones. Sabes que de alguna manera le debes mucho y que no es cuestión de pagárselo, sino de demostrarle agradecimiento. Tendrás una experiencia muy emotiva y especial hoy.
aries	2020-01-07	 Te sientes con muchas energías y el frío no va a conseguir que renuncies a tus planes así que pasarás un día con muchos asuntos entre manos, pero todo va a salirte muy redondo y a tu gusto. Buenas vibraciones y satisfacciones interiores muy hondas.
tauro	2020-01-07	 Un proyecto familiar que esté unido a un negocio va a reclamar toda la atención hoy y es posible que tengas que tomar una decisión de invertir más o de cambiar algo importante como su ubicación. Piénsalo bien todo antes de hacerlo.
geminis	2020-01-07	 Después de los días de vacaciones retomas la actividad profesional, lo que te lleva a plantearte de nuevo ciertos cambios en cómo afrontarla. No esperes que eso venga de fuera, es algo que debes hacer tu y solo tu. Hoy verás una señal que te guiará.
cancer	2020-01-07	 Remover una herida del pasado no es lo más inteligente que puedes hacer hoy así que procura pasar por encima de ese recuerdo y si alguien se empeña en sacar la conversación, di que no quieres hablar de ello. Estás en tu derecho y nadie puede obligarte.
leo	2020-01-07	 Te darás cuenta de quien te conviene y de quien no entre los compañeros de trabajo, porque hay bastante competitividad a tu alrededor y en eso vas a saber el camino a seguir. Ve a por lo tuyo sin dudarlo, lo que no significa que no tengas compañerismo.
virgo	2020-01-07	 Nada es perfecto y eso es algo que debes de tener muy en cuenta hoy si las cosas no se desarrollan tal y como habías previsto, sobre todo si estás fuera de casa o en un viaje. Intenta que los nervios no te desmoronen y tomas las riendas de la situación.  
libra	2020-01-07	 Si has empezado hace poco una relación, no debes plantearte nada más que dejar fluir todo y ver cómo se va desarrollando. Conocer a la otra persona no es tarea fácil nunca y piensa que sucede lo mismo contigo. Paso a paso puedes llegar muy lejos.
escorpio	2020-01-07	 No sabrás, de momento, quién está hablando algo regular de ti, pero hoy te llegarán ciertos comentarios que no te van a hacer mucha gracia. Más adelante te enterarás de porqué está sucediendo esto. De momento, procura guardar tus opiniones bien.
sagitario	2020-01-07	 Te apetecerá no dar demasiadas explicaciones hoy si alguien te pregunta por las fiestas pasadas porque no te ha quedado un buen sabor de boca de algunos momentos. No tienes porqué darlas, es tu vida y tienes todo el derecho del mundo a no contar lo que no te apetezca contar.
capricornio	2020-01-07	 No te gusta llamar la atención de manera gratuita en ningún sentido y hoy más porque vas a ser muy discreto en todo lo que hagas. Plantéate que algo tiene que empezar a cambiar para mejorar tu imagen porque a partir de este comienzo de año puede ser clave.
acuario	2020-01-07	 Si unes tus fuerzas a las de otra persona en un grupo social o incluso en el trabajo, te irá bastante mejor. Tu sentido de la individualidad es fuerte, pero es muy importante que aprendas a trabajar en equipo. Lo verás muy pronto si abres tu mente.
piscis	2020-01-07	 A veces eres demasiado ingenuo y te fías de quien no debes. Ser bien pensado es muy positivo y confiar en los demás también, pero no hasta el punto de que se puedan aprovechar de ti. Es hora de protegerse más. Procura hacerlo de inmediato.  
aries	2020-01-08	 Te planteas si seguir con un trabajo extra que realmente te lleva mucho esfuerzo aunque te reporta, lógicamente, una ganancia económica que te viene muy bien. Pero quizá puedas prescindir de algunos caprichos y no esforzarte tanto físicamente.
tauro	2020-01-08	 Aunque tengas deseos de hacerlo cuanto antes, no es ahora el momento adecuado de tomar decisiones drásticas sobre una relación. No saldría bien porque aún no tienes las ideas demasiado claras y podrías equivocarte. Date un tiempo de reflexión.
geminis	2020-01-08	 Hoy tendrás el resultado de un examen, una prueba de cualquier clase e incluso puede ser una entrevista de trabajo. Será mucho más favorable de lo que esperas y la sonrisa no se hará esperar. Estarás muy feliz con los resultados que reforzarán tu autoconfianza.
cancer	2020-01-08	 Hoy andas con preocupación por una noticia que quizá te ha llegado de fuera y que te intranquiliza bastante porque no puedes solucionarla ni estar al lado de la persona que no lo está pasando bien. Mantén la calma y utiliza la tecnología para comunicarte.
leo	2020-01-08	 Te pondrás en contacto con alguien que te interesa para un negocio o una venta de algo. Retomas una negociación que ya habías empezado hace algún tiempo, pero que ahora necesitas acelerar. Deberás ceder en parte porque de lo contrario no avanzarás.
virgo	2020-01-08	 Estás esperando que un amigo o una amiga de el primer paso para solucionar un malestar que sabes tiene y que está por debajo de la superficie de la conversación desde hace unos meses. Pero si esperas mucho, no vas a solucionarlo. Ojo. Debes actuar.
libra	2020-01-08	 Es posible que hoy eches de menos a tu pareja, si tienes, o a una persona querida que anda lejos, de viaje o que simplemente está demasiado ocupada para charlar contigo de un tema que te preocupa. Paciencia, ya llegará el momento del reencuentro.
escorpio	2020-01-08	 Hoy te preocuparás de un tema económico, relacionado con herencias o propiedades familiares que te van a llevar a una más que posible discusión o por lo menos a estar en bastante tensión. Respira hondo y mira lo que más te conviene sin acritud.
sagitario	2020-01-08	 Las redes sociales te llevan hoy a pasar demasiado tiempo delante de una pantalla. Ten cuidado con no abusar de ello, aunque sea algo que te gusta mucho porque quizá no es tan bueno para ti como crees. Coge un libro o sal a dar un paseo y desconéctate.
capricornio	2020-01-08	 En el fondo, buscas la admiración y que tu ego brille en cuestiones profesionales. Eso no es malo si no dejas por el camino lo que importa realmente, como es un trabajo bien hecho, a conciencia. Tenlo en cuenta antes de decir o hacer algo demasiado obvio.
acuario	2020-01-08	 Si quieres conseguir la atención de alguien, echa a andar cuanto antes para captarla. Puede ser a través de las redes o no, pero en cualquier caso, nadie te va a venir a buscar si no te conoce. Atrévete a romper barreras y a darte a conocer sin timidez.
piscis	2020-01-08	 No lleves una responsabilidad familiar hasta el extremo de no manejar tu tiempo ni tu vida. Debes buscar soluciones cuanto antes para ir con más calma y tener tiempo personal y una mejor calidad de vida. Será complicado pero lo conseguirás.  
aries	2020-01-09	 Todo fluye hoy con tranquilidad y ningún sobresalto, por lo que en general será un día agradable. No te olvides de hacer algo que más adelante vas a necesitar, como una gestión de banco o cualquier otro asunto. No lo solucionarás a la primera, ten paciencia.
tauro	2020-01-09	 Estarás hoy más centrado que ayer en lo profesional y así dejarás de lado darle tantas vueltas a la cabeza en lo personal. Es una buena medida, porque hay un tema de trabajo que requiere una reunión importante y toda tu atención puesta en los más mínimos detalles. Tendrás éxito.
geminis	2020-01-09	 Puede que estés empezando a pensar en la próxima escapada y eso te tendrá con la mente despierta. Haces bien en tomarlo con tiempo, porque conseguirás ahorrar bastante y hacerlo con toda tranquilidad. Pide opinión a varias personas e infórmate bien.  
cancer	2020-01-09	 Buscas ayuda en una persona para que te eche una mano para terminar un trabajo o algo de estudios que has retomado y que ves que no puedes alcanzar tu solo o tu sola. No es nada negativo, te vendrá muy bien esa ayuda incluso si te cuesta dinero.  
leo	2020-01-09	 Hay sueños y deseos que a veces parecen inalcanzables. Solo tienes que tener claro cual es el camino que quieres seguir hacia ellos y si son reales y no una pura fantasía imposible, sabrás cómo llegar. Cree en tus posibilidades, que ahora se amplían.
virgo	2020-01-09	 Tu suerte cambia en cuestiones afectivas, en especial si no te quedas en casa esperando a que suceda un milagro. Mira a tu alrededor y comprobarás que hay alguien cerca, a quien conoces de hace poco, que te gusta. No te habías dado cuenta de su atractivo.
libra	2020-01-09	 No estás dispuesto a hacer ninguna concesión y sigues en tus trece de hacer algo complicado, quizá relacionado con el hogar, a tu manera y en soledad, porque crees que te bastas y sobras. Pero eso no es cierto. Ojo. Alguien ce4rcano te lo hará notar, escúchale.
escorpio	2020-01-09	 Vas a organizar un asunto profesional o un evento en el que andarás con prisas, quizá porque has dejado parte de él para última hora y ahora se te echa el tiempo encima. Procura dejar los nervios de lado y organizar lo que puedas con la mayor serenidad posible.
sagitario	2020-01-09	 Es muy posible que notes cierta falta de comunicación con la pareja o una dificultad para expresar lo que sientes de verdad. No tengas miedo a decirlo en voz alta, incluso si no tienes claro cuál va a ser su reacción. Lo importante ahora es la sinceridad.  
capricornio	2020-01-09	 Se potencia hoy cierta tendencia a estar muy a lo tuyo, sin querer saber nada de problemas o asuntos ajenos y eso es un poco egoísta porque alguien de tu entorno necesita que le escuchen. Tenlo en cuenta a la hora de hacer planes para esta tarde.
acuario	2020-01-09	 No descartes una oportunidad de emprender un negocio que puede presentarse sin que lo esperes. Desde luego no será fácil ni te lo darán hecho, pero con un poco de empuje, puedes ir hacia delante. Cuanto más optimismo derroches, mejor irá.
piscis	2020-01-09	 Si te anclas en la negación, no conseguirás salir de donde estás. Alguien te lo hará ver hoy claramente y aunque esa persona sea desconocida, te va a abrir los ojos de una manera muy especial. Escúchale y empezarás a ver las cosas desde otra perspectiva.
aries	2020-01-10	 Muy potenciadas hoy las dotes intelectuales, todo los asuntos en los que se necesite concentración mental o análisis van a salir muy bien porque estarás brillante y todo el mundo te escuchará. Aprovechas para ganar bastante terreno en lo profesional.  
tauro	2020-01-10	 Hoy te dedicarás a descansar, relajarte y olvidar tensiones laborales. Si acabas de terminar en un trabajo, date un respiro, porque te lo mereces después de unos días muy intensos. Quizá una pequeña escapada a la naturaleza te ayudará a respirar hondo y relajarte.
geminis	2020-01-10	 Hay temas que te van a tener pendiente durante todo el fin de semana, serán asuntos profesionales pero relacionados con otras decisiones que no dependen de ti, así que procura tomártelo con mucha filosofía. Tu capacidad de maniobra no es mucha.
cancer	2020-01-10	 La Luna llena hoy en tu signo te trae una sensación un tanto cargada de empacho no solo físico, también quizá mental y eso hace que lo que más te apetecerá hoy será estar bastante a tu aire, sin compromisos de ninguna clase. Disfrutarás en soledad.
leo	2020-01-10	 No te conviene estar excesivamente pendiente de lo que hace tus hijos o ser obsesivo con la pareja ya que alguien se puede sentir mal con esta manera de actuar. Debes de dejar que cada uno siga su camino sin presionar ni pretender imponer tu criterio.
virgo	2020-01-10	 Te sorprenderá, pero un amigo o amiga reciente te propone un plan un tanto diferente que te llevará a conocer algo muy distinto a lo habitual o a tus costumbres o lugares que más frecuentas. No digas que no ya que puede ser una experiencia reveladora.
libra	2020-01-10	 Hoy el cariño y el amor serán prioritarios para ti. Necesitas sentirlo cerca en la forma que sea y lo cierto es que lo puedes conseguir con bastante facilidad porque hay alguien que te quiere mucho y lo demostrará. Se agradecido y regala sonrisas y afecto.
escorpio	2020-01-10	 Puede que suceda algo en el trabajo que te tomes como una auténtica traición. Quizá elijan a otra persona para un puesto o un proyecto que te apetecía hacer, pero es mejor que pienses que habrá más oportunidades. El camino es muy largo aún.
sagitario	2020-01-10	 Hoy debes romper la rutina y abrir tu mente a cosas nuevas, ya sea en el plano del ocio como en el más serio del trabajo o del futuro profesional. Déjate llevar por alguien muy inspirador, alguien muy diferente a ti que te trae una visión diferente.  
capricornio	2020-01-10	 Te vendrá muy bien hacer ejercicio y mover tu cuerpo para sentirte mejor, para liberarte de tensiones y para mantener una dieta más adecuada a la que llevas ahora. Si no lo has hecho ya, propóntelo cuanto antes. Busca a alguien que te informe.
acuario	2020-01-10	 Acabas esta semana pensando en lo que puedes hacer con algunos aspectos de tu vida con los que no estás satisfecho. Reconocer esto es ya un paso importante para mejorarlos y zanjar asuntos pendientes. Alguien te va a revelar lo que piensa sobre ti.  
piscis	2020-01-10	 Haz caso a tu intuición si alguien te presiona para cerrar un trato o firmar un contrato de alguna clase porque hay algo que puede salir mal si no estás muy pendiente de cualquier detalle o letra pequeña. Mucha precaución con los compromisos, en especial si implican dinero.  
aries	2020-01-11	 Te va a atraer mucho hoy todo lo que tenga que ver con el arte o con el espectáculo y eso te llevará a interesarte por esas disciplinas o incluso a hacer una pequeña escapada para disfrutar de algo. Lo cierto es que lo pasarás muy bien, te compensará.
tauro	2020-01-11	 No dejes que la nostalgia se imponga hoy en tu corazón. Es cierto que las cosas no son como eran antes, pero eso es propio de la esencia de la vida y debes asumirlo. Hay muchas oportunidades y cosas muy positivas que aún están por llegar.  
