sign	date	prediction
acuario	2015-01-01	 Una persona de tu entorno te contará algo que, con razón, no te cuadrará: se guardará para ella ciertas claves, un as en la manga sin el que no te será posible entender qué es lo que quiere o necesita. Desconfía, y exígele la sinceridad que siempre has tenido tú con ella.
piscis	2015-01-01	 Empieza el año dándote un buen homenaje en algún momento del día: quizá podrías regalarte una comida deliciosa en un restaurante que te guste o cualquier otra cosa que te recompense por todo lo que has trabajado en los últimos meses. Así valorarás todas las cosas por las que disfrutar.
aries	2015-01-02	 Hoy te surgirá una oportunidad que ni imaginabas y que, posiblemente, estará relacionada con lo laboral: se acercan grandes posibilidades de cambio. Aprovéchalas y no desperdicies el que podría ser un momento decisivo para tu carrera. Estás cerca del éxito que anhelas.
tauro	2015-01-02	 Lo mejor que puedes hacer en relación a cierto asunto es enfrentarte a él. Hoy tendrás la oportunidad de hacerlo porque aparecerá una persona nueva en escena. Hazlo sin miedo: no tienes nada que perder pues, en el peor de los casos, las cosas seguirán como hasta este momento. 
geminis	2015-01-02	 Es probable que con la entrada de año aprendas a darte cuenta de qué cosas son las que te hacen feliz: este fin de semana verás algo de esto con mucha claridad, sobre todo después de mantener una conversación con una persona que no es de tu familia.
cancer	2015-01-02	 Es bueno que continúes relativizando una situación familiar que, hasta hace poco, te costaba trabajo asimilar. Hoy tendrás un reto en este sentido. Lo superarás, pero primero tienes que aceptar que las cosas son como son. Si te resistes, tendrás un mayor sufrimiento.
leo	2015-01-02	 Sentirás ciertas molestias en el estómago que te recordarán la cantidad enorme de tiempo que llevas sin acudir al médico. Pide cita y no lo dejes para más adelante: necesitas curar una dolencia que no es grave. Además, vivir preventivamente te ayudará a mantener un estado óptimo de salud.
virgo	2015-01-02	 En un plano puramente afectivo vivirás hoy un encuentro que supondrá un antes y un después en tu vida, independientemente de que se convierta en una relación. Las cartas están echadas: tú sólo puedes entregarte a lo que venga, siempre abierto al amor.
libra	2015-01-02	 En algún momento del día mantendrás una conversación transformadora, casi mágica, con un desconocido. Te llevará a cuestionarte cosas de tu vida que no funcionan y a reflexionar sobre las cosas que puedes hacer para que todo marche bien de nuevo.
escorpio	2015-01-02	 Eres muy eficaz y muy trabajador, pero hoy comprenderás que estás al límite de tus fuerzas físicas. Debes descansar y no tomarte tan en serio todo lo que tienes que hacer. Recuerda: deja para mañana lo que no puedas hacer hoy. Por la tarde noche, haz un plan muy tranquilo y reponte.
sagitario	2015-01-02	 Sufrirás una pequeña recaída en relación a un asunto que creías tener superado y, al menos durante unos minutos, te embargará la desesperanza. No es para tanto: recuerda que no importa las veces que nos caigamos, pues lo único importante es, pase lo que pase, levantarse de nuevo.
capricornio	2015-01-02	 Alguien podría hacerte una propuesta inesperada: quizá un viaje próximo o quizá un negocio que podría ser bastante próspero. No tengas prisa por responder: valora los pros y los contras y, si la tienes, habla con tu pareja y confiésale tus inquietudes.
acuario	2015-01-02	 Comienza un fin de semana en el que te sucederán cosas extraordinarias no tanto por las vacaciones, o por el lugar, cuanto por las vivencias interiores que tendrás a poco que conectes contigo mismo. Recibirás las respuestas a las cuestiones que más te preocupan en estos momentos.
piscis	2015-01-02	 Pasarás un día excitante y lleno de sorpresas y, por la noche, puede que vivas un encuentro amoroso con una persona muy especial. Déjate llevar por la pasión: no pongas barreras. Estás en el momento perfecto de tu vida para florecer y vivir intensamente.  
aries	2015-01-03	 Hay un tiempo para cada cosa y eso es algo que hoy va a quedarte muy claro porque sabrás hacer lo necesario para no obsesionarte por terminar una tarea que es agradable, pero que lleva su esfuerzo. Aunque luego te vas a sentir muy satisfecho.  
tauro	2015-01-03	 No te pongas nervioso si todo anda algo paralizado por las fechas navideñas, que ya tocan a su fin en la semana que entra. Poco a poco, ese proyecto en el que estás va a madurar y puedes aprovechar estos días para pensarlo un poco más o introducir algún cambio.
geminis	2015-01-03	 Necesitas hoy alejarte de esas celebraciones que quizá te hayan agobiado un poco porque no te sientes en sintonía con algunos miembros de la familia con los que no tienes una relación estrecha. Tu talante más rebelde te hará plantearte muchas cosas en este aspecto.
cancer	2015-01-03	 No te va a faltar cierta sabiduría para explicarle a la familia o los hijos algunas cosas complicadas, pero sabrás manejar la situación adecuadamente, porque estarás inspirado y dirás las palabras acertadas. Derrocharás mucho cariño en todo ello.
leo	2015-01-03	
